"title","body","labels","milestone","roadmap_track","roadmap_status","issue_number","issue_state","issue_url"
"[DB-05] Publish PostgreSQL backup and restore runbook","Scope: document and script backup, restore, and validation path for runtime data. DoD: one full rehearsal (backup to restore to resume execution) is recorded.","area/storage,type/docs,priority/P0,sprint/2","Sprint 2 (2026-03-09 ~ 2026-03-15)","runtime-v1","archived","14","CLOSED","https://github.com/Colin4k1024/Oris/issues/14"
"[DB-06] Add PostgreSQL integration matrix in CI","Scope: run key runtime tests on both sqlite and postgres, including crash recovery scenarios. DoD: CI blocks merge when either backend matrix fails.","area/storage,type/test,priority/P0,sprint/2","Sprint 2 (2026-03-09 ~ 2026-03-15)","runtime-v1","archived","15","CLOSED","https://github.com/Colin4k1024/Oris/issues/15"
"[SCH-01] Add retry policies for attempts","Scope: support fixed and exponential backoff with max retry count. DoD: failed attempts retry according to policy and retry history is queryable.","area/scheduler,type/feature,priority/P1,sprint/3","Sprint 3 (2026-03-16 ~ 2026-03-22)","runtime-v1","archived","16","CLOSED","https://github.com/Colin4k1024/Oris/issues/16"
"[SCH-02] Add attempt timeout policy","Scope: define execution timeout and terminal behavior on timeout. DoD: timed-out attempts transition deterministically to configured terminal state.","area/scheduler,type/feature,priority/P1,sprint/3","Sprint 3 (2026-03-16 ~ 2026-03-22)","runtime-v1","archived","17","CLOSED","https://github.com/Colin4k1024/Oris/issues/17"
"[SCH-03] Introduce dead-letter queue model and APIs","Scope: persist unrecoverable attempts and expose list/inspect/replay APIs. DoD: DLQ attempts are visible and replayable through control-plane APIs.","area/scheduler,area/runtime,type/feature,priority/P1,sprint/3","Sprint 3 (2026-03-16 ~ 2026-03-22)","runtime-v1","archived","18","CLOSED","https://github.com/Colin4k1024/Oris/issues/18"
"[SCH-04] Add priority-aware dispatch","Scope: support attempt priority and prefer high-priority dispatch under mixed queues. DoD: load test shows lower wait latency for high-priority attempts.","area/scheduler,type/feature,priority/P1,sprint/3","Sprint 3 (2026-03-16 ~ 2026-03-22)","runtime-v1","archived","19","CLOSED","https://github.com/Colin4k1024/Oris/issues/19"
"[SCH-05] Add worker and tenant rate limits","Scope: implement configurable worker and tenant throttling integrated with backpressure decisions. DoD: over-limit traffic returns deterministic backpressure decisions and metrics.","area/scheduler,area/multitenancy,type/feature,priority/P1,sprint/3","Sprint 3 (2026-03-16 ~ 2026-03-22)","runtime-v1","archived","20","CLOSED","https://github.com/Colin4k1024/Oris/issues/20"
"[SCH-06] Build failover and conflict stress test suite","Scope: create fault-injection scripts for lease expiry, conflict, and failover recovery measurements. DoD: baseline report includes conflict rate, recovery latency, and throughput.","area/scheduler,type/test,priority/P1,sprint/3","Sprint 3 (2026-03-16 ~ 2026-03-22)","runtime-v1","archived","21","CLOSED","https://github.com/Colin4k1024/Oris/issues/21"
"[OBS-01] Add end-to-end OpenTelemetry traces","Scope: instrument run/thread/attempt lifecycle with trace context propagation. DoD: one run can be traced end-to-end across API and worker flow.","area/observability,type/feature,priority/P1,sprint/4","Sprint 4 (2026-03-23 ~ 2026-03-29)","runtime-v1","archived","22","CLOSED","https://github.com/Colin4k1024/Oris/issues/22"
"[OBS-02] Expose Prometheus runtime metrics","Scope: expose queue depth, dispatch latency, lease conflict rate, and recovery latency metrics. DoD: /metrics endpoint is scrape-ready and metrics are documented.","area/observability,type/feature,priority/P1,sprint/4","Sprint 4 (2026-03-23 ~ 2026-03-29)","runtime-v1","archived","23","CLOSED","https://github.com/Colin4k1024/Oris/issues/23"
"[OBS-03] Provide Grafana dashboards and alert rules","Scope: add dashboard JSON and alert thresholds for error rate, recovery latency, and sustained backpressure. DoD: dashboard and alerts are validated against sample workload.","area/observability,type/docs,priority/P1,sprint/4","Sprint 4 (2026-03-23 ~ 2026-03-29)","runtime-v1","archived","24","CLOSED","https://github.com/Colin4k1024/Oris/issues/24"
"[REL-01] Add replay side-effect safety guard","Scope: persist effect log and idempotency fingerprint to avoid duplicated external side effects during replay. DoD: replay test proves no duplicate side-effect execution.","area/reliability,area/runtime,type/feature,priority/P1,sprint/4","Sprint 4 (2026-03-23 ~ 2026-03-29)","runtime-v1","archived","25","CLOSED","https://github.com/Colin4k1024/Oris/issues/25"
"[OSS-01] Publish cargo-generate templates for service/worker/operator","Scope: package and document cargo-generate flow for the three starter archetypes. DoD: external user can scaffold and run each archetype with one command path.","area/developer-experience,type/feature,priority/P1,sprint/4","Sprint 4 (2026-03-23 ~ 2026-03-29)","runtime-v1","archived","26","CLOSED","https://github.com/Colin4k1024/Oris/issues/26"
"[OSS-02] Complete production operations docs","Scope: publish deploy, upgrade, migration, SLO, and incident-response guides for operators. DoD: docs provide an end-to-end path from fresh deploy to production readiness.","area/developer-experience,type/docs,priority/P1,sprint/4","Sprint 4 (2026-03-23 ~ 2026-03-29)","runtime-v1","archived","27","CLOSED","https://github.com/Colin4k1024/Oris/issues/27"
"[ARCH] Add async checkpoint API for better performance","## Description

Currently the checkpoint API is synchronous, which blocks the runtime during persistence operations. Adding async checkpoint APIs would improve throughput.

## Scope
- Add async versions of checkpoint save/load functions
- Ensure backward compatibility
- Add tests for new async APIs

## Type
- type/feature
- area/runtime","type/feature,area/runtime","","runtime-followups","archived","33","CLOSED","https://github.com/Colin4k1024/Oris/issues/33"
"[FEATURE] Add plugin system for custom node types","## Description

Oris should support a plugin system that allows users to define custom node types at runtime.

## Scope
- Define plugin trait/interface
- Add registration mechanism for custom nodes
- Ensure type safety at runtime
- Add documentation and examples

## Motivation
Currently, node types are hardcoded. A plugin system would allow extensibility without modifying the core runtime.

## Type
- type/feature
- area/runtime","type/feature,area/runtime","","runtime-followups","archived","34","CLOSED","https://github.com/Colin4k1024/Oris/issues/34"
"[CI-01] Consolidate CI workflows and enforce lint/example gates","## Description

The repository currently runs two overlapping GitHub workflows (`.github/workflows/ci.yml` and `.github/workflows/rust.yml`). The stronger workflow still does not enforce `cargo clippy`, and critical examples are only validated manually.

## Scope
- Consolidate duplicate CI coverage into one canonical workflow
- Add `cargo clippy --all-targets --all-features -- -D warnings`
- Add CI checks for critical examples (including `custom_node_plugins`)
- Add a small OS matrix (at least Linux + macOS; Windows if feasible)

## Motivation
CI should be the source of truth for contributor checks, not a partial subset of `CONTRIBUTING.md`.

## Definition of done
- One primary CI workflow covers PR + main validation
- Lint failures fail CI
- Example drift is caught automatically
- Cross-platform breakage is surfaced before merge","priority/P0,type/test,area/developer-experience","","runtime-followups","archived","35","CLOSED","https://github.com/Colin4k1024/Oris/issues/35"
"[PLG-01] Define external plugin packaging and compatibility rules","## Description

The new runtime plugin system supports in-process registration, but it does not yet define how third-party plugins should be packaged, versioned, or compatibility-checked.

## Scope
- Define a plugin authoring/package contract for 0.1.x
- Document API compatibility expectations for plugins across runtime upgrades
- Define registry metadata/capability descriptors if needed
- Document safety boundaries and what remains in-process / unsandboxed

## Motivation
Without a compatibility contract, plugin support is useful for app-local composition but not yet a stable ecosystem surface.

## Definition of done
- Plugin authoring guidance exists for external users
- Compatibility rules are explicit
- At least one non-trivial packaged plugin example or reference layout exists","type/feature,area/runtime,priority/P1,area/developer-experience","","runtime-followups","archived","36","CLOSED","https://github.com/Colin4k1024/Oris/issues/36"
"[OSS-03] Expand ecosystem integration examples beyond Axum","## Description

The project now has better starter templates, but the concrete integration examples are still narrow (primarily Axum plus a small set of templates).

## Scope
- Add at least two more integration paths (for example: `tonic`, `actix-web`, pure Tokio worker, deployment-oriented examples)
- Document when to choose each integration path
- Ensure new examples compile in CI or a dedicated example validation job
- Update the examples index and onboarding docs

## Motivation
Adoption improves when users can map Oris onto the Rust stack they already run.

## Definition of done
- New ecosystem examples/guides are added
- Example selection guidance is documented
- The examples index clearly points users to the new paths","type/docs,priority/P1,area/developer-experience","","runtime-followups","archived","37","CLOSED","https://github.com/Colin4k1024/Oris/issues/37"
"[PERF-01] Add a dedicated benchmark suite and regression policy","## Description

Current performance coverage relies on stress-style tests inside the runtime test suite. There is no dedicated benchmark harness, stable baseline, or explicit regression policy.

## Scope
- Add repeatable benchmarks for key hot paths (dispatch, lease heartbeat, replay, API endpoints)
- Separate benchmark reporting from correctness tests
- Capture baseline outputs in a stable format
- Define how benchmark regressions are reviewed (CI threshold, manual gate, or scheduled run)

## Motivation
Stress tests are useful for correctness, but they are not a substitute for measured performance tracking.

## Definition of done
- A benchmark harness exists and is documented
- Baseline metrics are captured in-repo or artifacted consistently
- A clear regression review policy is defined","area/runtime,type/test,area/scheduler,priority/P1","","runtime-followups","archived","38","CLOSED","https://github.com/Colin4k1024/Oris/issues/38"
"[API-01] Publish a machine-readable runtime API contract","## Description

The runtime API is documented in `README.md`, but there is no machine-readable contract (OpenAPI / JSON schema) for operators, SDKs, or generated clients.

## Scope
- Generate an OpenAPI spec or equivalent machine-readable schema for the runtime API
- Cover the current v1 endpoints and request/response DTOs
- Publish the artifact in-repo (or expose it from the execution server)
- Add a drift check so docs/spec stay aligned

## Motivation
Text-only API docs do not scale well once the control-plane surface grows.

## Definition of done
- A machine-readable runtime API contract exists
- The spec is reproducible from code or checked in with drift protection
- README points to the canonical contract location","type/feature,area/runtime,priority/P1,area/developer-experience","","runtime-followups","archived","39","CLOSED","https://github.com/Colin4k1024/Oris/issues/39"
"[SCH-07] Harden remaining scheduler and lease semantics","## Description

The runtime repository, scheduler, and lease manager still contain explicit TODOs around transactional dispatch semantics, fairness, heartbeat grace handling, and split-brain protection.

## Scope
- Eliminate the remaining `phase1.1` scheduler/lease TODOs
- Define atomic attempt-status + lease-write semantics
- Use lease versions and heartbeat grace for stricter expiry handling
- Add tests for split-brain, fairness/ordering, and conflict scenarios

## Motivation
The core queue/lease path should no longer rely on skeleton semantics now that the v1 runtime surface has expanded.

## Definition of done
- Remaining dispatch-semantics TODOs in repository/scheduler/lease are removed
- Attempt ownership transitions are explicit and test-covered
- Split-brain and fairness regressions have dedicated tests","type/feature,priority/P0,area/runtime,area/storage,area/scheduler","","runtime-followups","archived","40","CLOSED","https://github.com/Colin4k1024/Oris/issues/40"
"[SEC-07] Add supply-chain and dependency scanning to CI","## Description

Current CI validates runtime security regressions, but it does not check dependency advisories, license policy, or supply-chain drift.

## Scope
- Add a dependency scanning job (`cargo audit`, `cargo deny`, or equivalent)
- Fail CI on unapproved advisories / license violations
- Commit the baseline config and document how exceptions are reviewed
- Keep the new job separate from runtime auth regression tests

## Motivation
Runtime API security tests do not protect against vulnerable or policy-breaking dependencies.

## Definition of done
- CI includes a supply-chain scan job
- Baseline config is versioned in the repository
- Exceptions are explicit and reviewable
- Failing advisories block merges by default","area/security,priority/P0,type/test","","runtime-followups","archived","41","CLOSED","https://github.com/Colin4k1024/Oris/issues/41"
"[REL-02] Fix crate metadata and repository link hygiene","## Description

The crate manifest and docs still contain stale repository links from the previous GitHub location, and the crate does not declare a `rust-version`.

## Scope
- Update `repository` and `homepage` in `crates/oris-runtime/Cargo.toml`
- Update stale GitHub links in `README.md` and onboarding docs
- Declare a supported `rust-version`
- Add a lightweight validation so release metadata and public links stay consistent

## Motivation
Incorrect public metadata creates avoidable friction for users, package consumers, and release automation.

## Definition of done
- No stale GitHub URLs remain in release-facing docs/metadata
- `rust-version` is declared in the crate manifest
- Release metadata consistency is documented and/or checked automatically","priority/P0,type/docs,area/developer-experience","","runtime-followups","archived","42","CLOSED","https://github.com/Colin4k1024/Oris/issues/42"
"[K1] Implement ExecutionStep Contract Freeze","**Description:** Eliminate async side effects, hidden runtime mutations, and adapter nondeterminism by defining a strict, canonical execution contract.

**Tasks:**
- Implement the `ExecutionStep` trait (`execute(state, input) -> StepResult`).
- Enforce pure boundary conditions.
- Define and validate explicit inputs and outputs.

**Acceptance Criteria:** Adapters can only interact through the frozen step contract.","type/feature,epic/K1-Execution-Determinism","Oris 2.0 Kernel","kernel-2.0","archived","44","CLOSED","https://github.com/Colin4k1024/Oris/issues/44"
"[K1] Implement Runtime Effect Capture","**Description:** Intercept and record all side effects generated during execution.

**Tasks:**
- Introduce `RuntimeEffect` enum (`LLMCall`, `ToolCall`, `StateWrite`, `InterruptRaise`).
- Implement kernel-level hooks to log all instances of `RuntimeEffect` to the active thread context.

**Acceptance Criteria:** Zero uncaptured side effects leak into the execution state.","type/feature,epic/K1-Execution-Determinism","Oris 2.0 Kernel","kernel-2.0","archived","45","CLOSED","https://github.com/Colin4k1024/Oris/issues/45"
"[K1] Build Determinism Guard & Execution Modes","**Description:** Prevent nondeterministic operations from corrupting the state and introduce strict runtime modes.

**Tasks:**
- Implement `KernelMode` (`Normal`, `Record`, `Replay`, `Verify`).
- Add trap handlers to immediately fail execution on clock access, hardware randomness detection, or uncontrolled thread spawning.

**Acceptance Criteria:** Same run guarantees an identical event stream hash; replay mismatches are instantly detected and halted.","type/feature,epic/K1-Execution-Determinism","Oris 2.0 Kernel","kernel-2.0","archived","46","CLOSED","https://github.com/Colin4k1024/Oris/issues/46"
"[K2] Build Canonical Execution Log Store","**Description:** Move away from checkpoint-driven state management to an event-sourced log as the source of truth.

**Tasks:**
- Implement `ExecutionLog` struct (`thread_id`, `step_id`, `event_index`, `event`, `state_hash`).
- Refactor current checkpointing to act strictly as an optimization/snapshot layer.","type/feature,epic/K2-Replay-Engine","Oris 2.0 Kernel","kernel-2.0","archived","47","CLOSED","https://github.com/Colin4k1024/Oris/issues/47"
"[K2] Develop Replay Cursor Engine","**Description:** Build the core algorithm to reconstruct state from historical events without triggering live side effects.

**Tasks:**
- Implement replay loop: Load checkpoint → Replay events → Inject recorded outputs → Reconstruct state.
- Ensure live tool execution is hard-disabled during replay.","type/feature,epic/K2-Replay-Engine","Oris 2.0 Kernel","kernel-2.0","archived","48","CLOSED","https://github.com/Colin4k1024/Oris/issues/48"
"[K2] Implement Replay Verification API","**Description:** Create a diagnostic API to cryptographically verify the integrity of a run.

**Tasks:**
- Expose `oris kernel verify <thread_id>` CLI/API command.
- Implement validation logic for state hash equality, tool checksum matching, and interrupt consistency.","type/feature,epic/K2-Replay-Engine","Oris 2.0 Kernel","kernel-2.0","archived","49","CLOSED","https://github.com/Colin4k1024/Oris/issues/49"
"[K2] Enable Branch Replay (Timeline Forking)","**Description:** Allow execution timelines to fork from a specific historical checkpoint.

**Tasks:**
- Implement logic to resume replay from checkpoint N, inject an alternate decision, and fork the event stream.

**Acceptance Criteria:** Reasoning timelines can be successfully reconstructed, audited, simulated, and forked.","type/feature,epic/K2-Replay-Engine","Oris 2.0 Kernel","kernel-2.0","archived","50","CLOSED","https://github.com/Colin4k1024/Oris/issues/50"
"[K3] Define and Store Kernel Interrupt Object","**Description:** Standardize how interrupts are represented and persisted.

**Tasks:**
- Implement `Interrupt` struct (`id`, `thread_id`, `kind`, `payload_schema`, `created_at`).
- Ensure interrupts are flushed and stored alongside execution checkpoints.","type/feature,epic/K3-Interrupt-Kernel","Oris 2.0 Kernel","kernel-2.0","archived","51","CLOSED","https://github.com/Colin4k1024/Oris/issues/51"
"[K3] Implement Execution Suspension State Machine","**Description:** Handle the safe teardown of workers when an execution is paused.

**Tasks:**
- Implement kernel state transitions: `Running` → `Suspended` → `WaitingInput`.
- Ensure the worker safely exits and releases resources upon suspension.","type/feature,epic/K3-Interrupt-Kernel","Oris 2.0 Kernel","kernel-2.0","archived","52","CLOSED","https://github.com/Colin4k1024/Oris/issues/52"
"[K3] Enforce Replay-Based Resume Semantics","**Description:** Guarantee that resuming a suspended state does not rely on active memory.

**Tasks:**
- Implement resume logic strictly as: Replay + Inject Decision.
- Write tests to guarantee resuming N times yields identical results (idempotent resumes).","type/feature,epic/K3-Interrupt-Kernel","Oris 2.0 Kernel","kernel-2.0","archived","53","CLOSED","https://github.com/Colin4k1024/Oris/issues/53"
"[K3] Build Unified Interrupt Routing Layer","**Description:** Create a single resolver for all external interrupt sources.

**Tasks:**
- Implement `InterruptResolver` trait (`async fn resolve(interrupt) -> Value`).
- Map inputs from UI, agents, policy engines, and APIs through the resolver.

**Acceptance Criteria:** A process can be suspended, memory completely cleared, and successfully resumed days later.","type/feature,epic/K3-Interrupt-Kernel","Oris 2.0 Kernel","kernel-2.0","archived","54","CLOSED","https://github.com/Colin4k1024/Oris/issues/54"
"[K4] Define and Enforce Plugin Categories","**Description:** Standardize the types of plugins the kernel will recognize and load.

**Tasks:**
- Implement interfaces for `NodePlugin`, `ToolPlugin`, `MemoryPlugin`, `LLMAdapter`, and `SchedulerPlugin`.","type/feature,epic/K4-Plugin-Runtime","Oris 2.0 Kernel","kernel-2.0","archived","55","CLOSED","https://github.com/Colin4k1024/Oris/issues/55"
"[K4] Implement Plugin Determinism Declarations","**Description:** Force plugins to declare their behavioral boundaries to the kernel.

**Tasks:**
- Require `PluginMetadata` (`deterministic`, `side_effects`, `replay_safe`) for all plugins.
- Build kernel enforcement logic (replay substitution, sandbox routing).","type/feature,epic/K4-Plugin-Runtime","Oris 2.0 Kernel","kernel-2.0","archived","56","CLOSED","https://github.com/Colin4k1024/Oris/issues/56"
"[K4] Build Plugin Execution Sandbox","**Description:** Isolate plugin execution based on safety requirements.

**Tasks:**
- Implement execution mode routers (`InProcess`, `IsolatedProcess`, `Remote`).
- (Spike/Future): Blueprint WASM execution mode.","type/feature,epic/K4-Plugin-Runtime","Oris 2.0 Kernel","kernel-2.0","archived","57","CLOSED","https://github.com/Colin4k1024/Oris/issues/57"
"[K4] Implement Plugin Version Negotiation & Dynamic Registry","**Description:** Prevent runtime corruption through strict validation and enable hot-loading.

**Tasks:**
- Add validation for `plugin_api_version`, `kernel_compat`, and `schema_hash` on load.
- Upgrade `NodePluginRegistry` to support dynamic hot-loading and unloading of validated plugins.

**Acceptance Criteria:** Third-party tools can be loaded and executed without threatening kernel determinism.","type/feature,epic/K4-Plugin-Runtime","Oris 2.0 Kernel","kernel-2.0","archived","58","CLOSED","https://github.com/Colin4k1024/Oris/issues/58"
"[K5] Finalize Lease-Based Execution","**Description:** Formalize ownership of execution attempts.

**Tasks:**
- Implement `WorkerLease` to strictly enforce single-owner execution.
- Build lease expiry, recovery, and replay-restart logic.","type/feature,epic/K5-Distributed-Execution","Oris 2.0 Kernel","kernel-2.0","archived","59","CLOSED","https://github.com/Colin4k1024/Oris/issues/59"
"[K5] Implement Zero-Data-Loss Failure Recovery Loop","**Description:** Automate the recovery pipeline when a worker abruptly crashes.

**Tasks:**
- Implement the crash recovery pipeline: Lease expires → Checkpoint reloads → Execution replays → Dispatched to new worker.","type/feature,epic/K5-Distributed-Execution","Oris 2.0 Kernel","kernel-2.0","archived","60","CLOSED","https://github.com/Colin4k1024/Oris/issues/60"
"[K5] Build Context-Aware Scheduler Kernel","**Description:** Upgrade the dispatcher to route tasks intelligently across the cluster.

**Tasks:**
- Inject awareness of tenant limits, priority queues, plugin requirements, interrupt backlogs, and specific worker capabilities into the scheduling algorithm.","type/feature,epic/K5-Distributed-Execution","Oris 2.0 Kernel","kernel-2.0","archived","61","CLOSED","https://github.com/Colin4k1024/Oris/issues/61"
"[K5] Implement Safe Backpressure Engine & Kernel Observability","**Description:** Protect the cluster from overload and provide deep kernel insights (not just standard logs).

**Tasks:**
- Build safe rejection mechanisms returning explicit `tenant_limit` reasons.
- Expose telemetry for Reasoning Timeline, Lease Graph, Replay Cost, and Interrupt Latency.

**Acceptance Criteria:** `kill -9` on an active worker → cluster restarts → resumes exactly where it left off with an identical reasoning outcome.","type/feature,epic/K5-Distributed-Execution","Oris 2.0 Kernel","kernel-2.0","archived","62","CLOSED","https://github.com/Colin4k1024/Oris/issues/62"
"EvoKernel Wave 0: Add experimental crate skeletons and feature wiring","## Summary
Establish the repo topology for the full EvoKernel blueprint without changing stable runtime paths.

## Tasks
- Add new workspace members for `oris-governor`, `oris-evolution-network`, `oris-economics`, `oris-spec`, and `oris-agent-contract`
- Split `oris-evolution`, `oris-evokernel`, and `oris-sandbox` internals into modules while preserving current behavior
- Add experimental features in `oris-runtime`: `governor-experimental`, `evolution-network-experimental`, `economics-experimental`, `spec-experimental`, `agent-contract-experimental`, and `full-evolution-experimental`
- Wire `full-evolution-experimental` to aggregate all experimental evolution layers
- Keep all new crates `publish = false`
- Preserve existing `oris_runtime::evolution` imports and stable module paths

## Acceptance Criteria
- Workspace compiles
- `examples/evo_oris_repo` still compiles without import path changes
- Existing `oris_runtime::evolution` API remains usable","","","evolution","archived","63","CLOSED","https://github.com/Colin4k1024/Oris/issues/63"
"EvoKernel Wave 1: Add sqlite kernel stores and unify kernel trace/timeline","## Summary
Make the kernel locally durable across in-memory, SQLite, and Postgres, and expose richer execution observability.

## Tasks
- Implement `SqliteEventStore` and `SqliteSnapshotStore` in `oris-kernel`
- Make `sqlite-persistence` in `oris-kernel` a real feature instead of a placeholder
- Add a unified `KernelTraceEvent` model with `run_id`, `seq`, `step_id`, `action_id`, `kind`, and `timestamp_ms`
- Update `execution_log.rs` and `timeline.rs` to produce consistent event fields
- Populate `KernelObservability` in `oris-execution-runtime` with real values instead of placeholders
- Thread richer trace context through existing execution server response models without breaking routes

## Acceptance Criteria
- Kernel replay tests pass for in-memory, SQLite, and Postgres stores
- Each `KernelObservability` field is populated on at least one execution path
- Execution server API only gains optional fields; no breaking removals","","","evolution","archived","64","CLOSED","https://github.com/Colin4k1024/Oris/issues/64"
"EvoKernel Wave 3: Introduce governor crate and governor-aware capture flow","## Summary
Add an append-only, policy-only Governor layer that decides promotion, cooldown, and revocation without becoming a second source of truth.

## Tasks
- Create `oris-governor` with `GovernorConfig`, `GovernorInput`, `GovernorDecision`, `CoolingWindow`, `RevocationReason`, and `CandidateSource`
- Define `Governor` trait and a default policy implementation
- Default policy: first local success => `Candidate`
- Promote only after `success_count >= 3` and blast radius within limits
- Keep high-blast-radius mutations as `Candidate`
- Apply a default 30 minute cooldown after promotion
- Auto-revoke after two replay validation failures
- Add `capture_mutation_with_governor(...) -> CaptureOutcome` to `oris-evokernel`
- Preserve `capture_successful_mutation(...) -> Capsule` as a compatibility wrapper
- Ensure replay only attempts `Promoted` assets by default

## Acceptance Criteria
- Repeated success transitions a candidate into a promoted asset
- High blast radius never auto-promotes
- Revoked assets stop being selected immediately","","","evolution","archived","65","CLOSED","https://github.com/Colin4k1024/Oris/issues/65"
"EvoKernel Wave 4: Implement OEN protocol and quarantine import pipeline","## Summary
Add a minimal Oris Evolution Network protocol layer and the local quarantine pipeline for remote assets.

## Tasks
- Create `oris-evolution-network` for protocol DTOs and canonical hashing
- Add `EvolutionEnvelope`, `MessageType`, `NetworkAsset`, `PublishRequest`, `FetchQuery`, `FetchResponse`, and `RevokeNotice`
- Fix envelope defaults: `protocol = ""oen""`, `protocol_version = ""0.1""`
- Compute `content_hash` from canonical JSON without the `content_hash` field
- Add `export_promoted_assets(...) -> EvolutionEnvelope` in `oris-evokernel`
- Add `import_remote_envelope(...) -> ImportOutcome` in `oris-evokernel`
- On import: validate hash, validate schema, append remote import and quarantine events, run local validation, then hand off to governor
- Add feature-gated experimental routes for publish, fetch, and revoke in runtime/server facades

## Acceptance Criteria
- A promoted local capsule can be exported as a valid envelope
- Invalid hash or schema is rejected with audit-visible events
- Remote assets remain `Quarantined` until local validation completes","","","evolution","archived","66","CLOSED","https://github.com/Colin4k1024/Oris/issues/66"
"EvoKernel Wave 2: Add asset lifecycle states and evolution event extensions","## Summary
Upgrade the evolution domain from immediate commit-only behavior to explicit lifecycle-managed assets.

## Tasks
- Add `AssetState` with `Candidate`, `Promoted`, `Revoked`, `Archived`, and `Quarantined`
- Extend `Gene` and `Capsule` with `state`
- Extend `Outcome` with `lines_changed` and `replay_verified`
- Add `BlastRadius` support sourced from patch text in `oris-sandbox`
- Extend `EvolutionEvent` with promotion, revocation, quarantine, remote import, and spec-link variants
- Update projection rebuild logic so selector only uses `Promoted` assets by default
- Keep old log compatibility by defaulting legacy records to `Promoted`

## Acceptance Criteria
- Successful mutation capture records assets in explicit lifecycle states
- Projection rebuild reflects event-chain-derived state accurately
- Existing historical `events.jsonl` remains readable","","","evolution","archived","67","CLOSED","https://github.com/Colin4k1024/Oris/issues/67"
